"","DOGE-USD.Open","DOGE-USD.High","DOGE-USD.Low","DOGE-USD.Close","DOGE-USD.Volume","DOGE-USD.Adjusted"
"2021-05-01",0.337559,0.397135,0.32829,0.392987,10123343703,0.392987
"2021-05-02",0.391087,0.400029,0.364874,0.376046,8040406918,0.376046
"2021-05-03",0.373631,0.445567,0.373631,0.441707,10526649978,0.441707
"2021-05-04",0.440274,0.605998,0.4008,0.541334,38238126181,0.541334
"2021-05-05",0.537355,0.695262,0.523822,0.657633,42525098292,0.657633
"2021-05-06",0.652842,0.663616,0.545102,0.580804,18989900291,0.580804
"2021-05-07",0.58111,0.731972,0.520174,0.684777,28615083657,0.684777
"2021-05-08",0.687801,0.737567,0.608168,0.636439,25555125135,0.636439
"2021-05-09",0.63582,0.697625,0.425706,0.57007,46138063928,0.57007
"2021-05-10",0.569687,0.569687,0.421291,0.449964,16514521828,0.449964
"2021-05-11",0.450488,0.546651,0.445034,0.495231,14566975476,0.495231
"2021-05-12",0.493742,0.519975,0.385376,0.385376,8621337859,0.385376
"2021-05-13",0.392176,0.519461,0.357175,0.490374,18663174069,0.490374
"2021-05-14",0.48707,0.58969,0.464622,0.559604,20466177002,0.559604
"2021-05-15",0.559668,0.562676,0.491299,0.507972,9836892944,0.507972
"2021-05-16",0.50791,0.548145,0.451023,0.514895,9541552064,0.514895
"2021-05-17",0.513413,0.515221,0.458551,0.487892,7330830504,0.487892
"2021-05-18",0.486954,0.515599,0.470384,0.476115,4802902841,0.476115
"2021-05-19",0.476435,0.684735,0.218267,0.333123,15072620946,0.333123
"2021-05-20",0.330252,0.433192,0.296253,0.400194,12415484460,0.400194
"2021-05-21",0.398124,0.411975,0.314766,0.359382,7452862203,0.359382
"2021-05-22",0.358717,0.360517,0.318169,0.342371,5243222352,0.342371
"2021-05-23",0.342522,0.350863,0.249437,0.308071,7143545371,0.308071
"2021-05-24",0.306715,0.371485,0.296291,0.366162,6821088755,0.366162
"2021-05-25",0.366041,0.38001,0.323497,0.346302,5544552739,0.346302
"2021-05-26",0.346396,0.36592,0.338857,0.353693,3355793260,0.353693
"2021-05-27",0.353463,0.353463,0.328144,0.332945,2485942309,0.332945
"2021-05-28",0.333651,0.347879,0.301518,0.311205,3289455640,0.311205
"2021-05-29",0.311398,0.317919,0.281793,0.30311,2470710737,0.30311
"2021-05-30",0.302969,0.310324,0.28768,0.302224,1929947933,0.302224
"2021-05-31",0.301949,0.329163,0.29433,0.32581,2440829325,0.32581
"2021-06-01",0.325744,0.383079,0.31236,0.370077,5796031087,0.370077
"2021-06-02",0.370302,0.44459,0.352588,0.423374,11425588479,0.423374
"2021-06-03",0.423739,0.440763,0.378819,0.399963,6809900030,0.399963
"2021-06-04",0.400982,0.400982,0.351442,0.376323,5889983048,0.376323
"2021-06-05",0.376752,0.393886,0.360488,0.372177,3464039041,0.372177
"2021-06-06",0.371676,0.376798,0.367254,0.371807,1836611411,0.371807
"2021-06-07",0.371566,0.379678,0.329806,0.33105,3043974994,0.33105
"2021-06-08",0.331822,0.341435,0.29666,0.327687,3918487504,0.327687
